,carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
22667,0.32,4,61.3,58.0,990,0,1,0,0,0,0,0,0,0,0,0,1,0
23119,1.1,3,61.3,58.0,4791,1,0,0,0,0,0,0,1,0,0,0,0,0
20988,0.79,3,59.7,57.0,3432,0,0,0,0,0,0,0,1,0,0,0,0,0
12393,2.02,2,58.8,61.0,18236,1,0,0,0,0,0,0,0,1,0,0,0,0
17988,0.9,5,62.9,56.0,6237,0,0,1,0,0,0,0,0,0,0,0,1,0
7361,2.19,4,61.7,58.0,17554,0,0,0,1,0,0,0,0,1,0,0,0,0
16553,0.39,4,61.7,57.0,1009,0,0,0,1,0,0,0,0,0,1,0,0,0
17550,0.32,5,61.8,57.0,561,0,0,1,0,0,0,0,0,0,0,1,0,0
9813,0.4,5,61.4,55.0,1123,0,0,1,0,0,0,0,0,0,0,0,1,0
18364,1.01,3,61.0,59.0,5560,0,1,0,0,0,0,0,0,0,0,1,0,0
22201,1.23,4,61.6,58.0,5654,0,0,1,0,0,0,0,0,0,0,1,0,0
15371,1.04,4,61.745146555006194,60.0,4290,0,0,0,0,1,0,0,1,0,0,0,0,0
9360,1.02,1,61.5,60.0,2999,0,0,0,1,0,0,0,0,0,0,0,0,0
17635,0.95,3,61.745146555006194,55.0,3154,0,0,0,0,0,1,0,1,0,0,0,0,0
9826,0.45,5,61.8,57.0,1105,0,0,1,0,0,0,0,0,0,0,0,0,1
24151,0.84,3,61.8,57.0,3596,0,0,1,0,0,0,0,0,0,0,1,0,0
1300,1.72,4,59.3,59.0,14414,0,0,0,1,0,0,0,0,0,1,0,0,0
2968,0.82,4,62.2,59.0,2716,0,0,0,0,1,0,0,0,0,0,1,0,0
2523,0.27,3,61.8,59.0,586,1,0,0,0,0,0,0,0,0,0,0,0,1
6410,0.55,4,59.6,59.0,1448,0,0,1,0,0,0,0,0,0,0,1,0,0
5174,0.6,2,60.1,61.0,1757,0,0,1,0,0,0,0,0,0,1,0,0,0
20513,0.53,5,61.745146555006194,55.0,1740,0,1,0,0,0,0,0,0,0,1,0,0,0
17653,1.59,5,62.4,55.0,8176,0,0,0,0,0,1,0,1,0,0,0,0,0
22515,0.36,3,61.0,60.0,568,0,0,0,1,0,0,0,0,0,0,1,0,0
16617,0.51,4,62.3,58.0,1781,0,0,1,0,0,0,0,0,0,1,0,0,0
9117,1.2,5,61.7,56.0,5766,0,0,1,0,0,0,0,0,0,1,0,0,0
24848,0.4,3,63.2,58.0,882,1,0,0,0,0,0,0,1,0,0,0,0,0
5619,0.24,5,60.7,56.0,552,0,1,0,0,0,0,0,0,0,0,0,0,1
12058,0.73,4,60.7,58.0,2746,0,0,1,0,0,0,0,0,0,0,1,0,0
16053,1.06,5,61.4,56.0,7589,0,0,1,0,0,0,0,0,0,1,0,0,0
22375,0.38,5,61.0,57.0,1070,0,1,0,0,0,0,0,0,0,0,0,1,0
10465,1.5,2,57.9,61.0,6006,0,0,1,0,0,0,0,0,1,0,0,0,0
6723,1.0,4,62.1,58.0,5242,0,0,1,0,0,0,0,0,0,0,1,0,0
6862,1.11,5,61.3,55.0,9261,0,0,1,0,0,0,0,0,0,1,0,0,0
23068,0.43,3,60.9,57.0,943,0,0,1,0,0,0,0,0,0,1,0,0,0
20321,0.51,4,62.8,60.0,1036,0,1,0,0,0,0,0,0,1,0,0,0,0
4805,0.32,5,61.5,56.0,758,0,0,0,0,0,0,0,0,0,0,1,0,0
13509,1.6,5,61.9,54.0,11437,1,0,0,0,0,0,0,1,0,0,0,0,0
10187,0.4,5,61.9,56.0,1323,0,0,0,0,0,0,0,0,0,0,0,0,1
18163,0.31,2,61.745146555006194,56.0,489,0,0,0,0,1,0,0,0,0,1,0,0,0
24305,1.0,1,66.5,55.0,3696,1,0,0,0,0,0,0,1,0,0,0,0,0
15863,0.76,3,59.8,58.0,2418,0,0,0,1,0,0,0,0,1,0,0,0,0
5943,0.92,4,62.4,60.0,4451,0,0,0,1,0,0,0,0,0,0,1,0,0
17187,1.31,5,64.3,59.0,6573,0,0,0,0,1,0,0,0,0,1,0,0,0
7150,0.9,5,62.7,53.0,3805,0,0,1,0,0,0,0,0,1,0,0,0,0
4231,0.27,3,59.4,64.0,567,1,0,0,0,0,0,0,0,0,0,0,0,1
10149,0.24,3,59.2,59.0,552,0,1,0,0,0,0,0,0,0,0,0,1,0
10992,0.27,5,61.0,57.0,620,0,1,0,0,0,0,0,0,0,0,0,1,0
18387,0.23,3,58.6,61.0,530,1,0,0,0,0,0,0,0,0,0,0,1,0
10651,0.31,4,62.1,58.0,625,0,0,1,0,0,0,0,0,0,1,0,0,0
11405,0.38,4,59.7,62.0,918,0,0,1,0,0,0,0,0,0,0,1,0,0
16032,0.9,3,62.4,59.0,4961,0,1,0,0,0,0,0,0,0,1,0,0,0
3267,1.0,2,63.2,59.0,6183,0,1,0,0,0,0,0,0,0,0,1,0,0
1070,0.9,5,62.0,56.0,4234,0,0,0,1,0,0,0,0,0,1,0,0,0
26099,1.33,4,61.5,58.0,7090,0,0,0,0,1,0,0,0,0,1,0,0,0
15980,1.22,3,62.1,58.0,6334,0,0,1,0,0,0,0,1,0,0,0,0,0
10704,0.4,5,62.4,57.0,1123,0,0,1,0,0,0,0,0,0,0,0,1,0
21433,0.54,5,60.9,57.0,1772,0,1,0,0,0,0,0,0,0,1,0,0,0
4494,0.51,5,59.7,57.0,1656,0,0,1,0,0,0,0,0,0,1,0,0,0
21036,1.21,3,62.1,59.0,4791,0,0,0,0,1,0,0,0,1,0,0,0,0
5774,0.5,4,60.1,59.0,1332,0,1,0,0,0,0,0,1,0,0,0,0,0
23915,0.44,5,61.8,55.0,1235,0,0,1,0,0,0,0,0,0,0,0,1,0
23034,0.91,2,57.9,60.0,3061,0,0,0,0,1,0,0,0,1,0,0,0,0
11220,1.5,4,62.3,58.0,10428,0,0,1,0,0,0,0,1,0,0,0,0,0
2498,0.3,5,62.2,54.2,499,0,1,0,0,0,0,0,1,0,0,0,0,0
10196,0.54,4,60.0,58.0,1709,1,0,0,0,0,0,0,0,0,0,1,0,0
14394,0.31,5,60.8,55.0,942,0,0,0,1,0,0,0,0,0,0,0,1,0
17597,0.47,2,65.2,56.0,1613,1,0,0,0,0,0,0,0,0,0,0,1,0
15802,0.42,5,61.2,57.0,1048,0,0,0,1,0,0,0,0,0,1,0,0,0
25938,0.71,5,62.1,55.0,2839,0,1,0,0,0,0,0,0,0,1,0,0,0
14318,0.34,5,61.9,53.0,863,0,0,0,1,0,0,1,0,0,0,0,0,0
4209,1.51,5,62.8,54.0,8574,0,0,0,0,1,0,0,1,0,0,0,0,0
13736,1.26,4,61.2,59.0,6350,0,0,0,0,1,0,0,0,0,0,1,0,0
24267,0.41,4,62.0,59.0,876,0,0,0,1,0,0,0,1,0,0,0,0,0
24428,0.44,5,61.6,56.0,911,0,0,0,1,0,0,0,1,0,0,0,0,0
250,0.56,5,62.0,56.0,2442,0,0,1,0,0,0,1,0,0,0,0,0,0
12660,0.71,5,60.5,56.4,2751,0,0,1,0,0,0,0,1,0,0,0,0,0
17995,0.71,5,61.6,56.0,2145,0,0,0,0,1,0,0,0,0,0,0,0,1
3987,1.51,2,58.2,58.0,10819,0,0,0,1,0,0,0,0,0,1,0,0,0
11202,2.06,5,61.745146555006194,55.0,11337,0,0,0,0,0,1,0,0,1,0,0,0,0
5653,0.38,5,61.0,55.0,723,0,0,1,0,0,0,0,1,0,0,0,0,0
7971,1.07,3,60.4,63.0,4314,1,0,0,0,0,0,0,1,0,0,0,0,0
5823,0.41,5,62.2,54.0,1243,1,0,0,0,0,0,0,0,0,0,0,0,1
17172,1.01,4,61.2,59.0,7068,0,0,1,0,0,0,0,0,0,0,0,0,1
17963,0.32,5,61.2,55.0,892,1,0,0,0,0,0,0,0,0,0,0,1,0
4833,0.36,3,60.3,58.0,600,0,1,0,0,0,0,0,1,0,0,0,0,0
18541,1.01,3,60.5,59.0,6944,0,1,0,0,0,0,0,0,0,0,1,0,0
5059,0.52,4,61.5,60.0,1191,0,1,0,0,0,0,0,1,0,0,0,0,0
17912,0.9,1,66.0,58.0,3205,0,0,0,0,0,0,0,0,1,0,0,0,0
6930,1.04,5,61.7,57.0,4461,0,0,0,1,0,0,0,0,1,0,0,0,0
10132,0.58,4,62.1,55.0,1332,0,0,0,1,0,0,0,1,0,0,0,0,0
11471,0.76,5,61.7,56.0,4377,0,0,0,0,0,0,0,0,0,1,0,0,0
15324,0.72,5,61.3,56.0,3759,0,1,0,0,0,0,0,0,0,1,0,0,0
21584,1.5,1,69.3,61.0,3175,0,0,0,1,0,0,0,0,0,0,0,0,0
13225,0.37,5,61.6,55.0,1162,1,0,0,0,0,0,0,0,0,0,0,0,1
18891,0.39,5,61.5,57.0,558,0,0,0,1,0,0,0,0,1,0,0,0,0
3160,1.21,3,60.4,56.0,9878,0,0,1,0,0,0,0,0,0,0,0,0,1
6047,0.61,5,61.3,54.0,3004,1,0,0,0,0,0,0,0,0,1,0,0,0
2856,1.73,3,62.9,58.0,16807,0,0,1,0,0,0,0,0,0,0,1,0,0
17778,0.24,3,62.8,59.0,485,1,0,0,0,0,0,0,0,0,0,0,1,0
20634,0.75,5,61.8,56.0,3336,0,1,0,0,0,0,0,1,0,0,0,0,0
13456,1.01,2,59.5,62.0,3756,0,0,0,0,0,1,0,0,1,0,0,0,0
21981,0.31,5,62.1,56.0,871,0,0,1,0,0,0,1,0,0,0,0,0,0
21844,0.54,5,62.3,55.0,1754,0,0,1,0,0,0,0,0,0,1,0,0,0
3758,0.51,5,61.5,57.0,1875,0,0,1,0,0,0,0,0,0,0,0,0,1
24860,1.31,4,62.8,55.0,17496,0,0,0,0,0,0,0,0,0,0,0,1,0
18129,1.54,4,62.7,58.0,10314,1,0,0,0,0,0,0,1,0,0,0,0,0
13470,0.53,5,61.4,56.0,2031,0,0,0,1,0,0,0,0,0,0,1,0,0
26932,0.31,5,61.1,56.0,863,1,0,0,0,0,0,0,0,0,0,0,1,0
234,0.71,2,58.8,63.0,2120,1,0,0,0,0,0,0,0,1,0,0,0,0
12002,0.7,1,64.6,58.0,1672,0,0,0,0,0,1,0,0,0,0,1,0,0
20844,1.2,3,59.1,61.0,5016,0,0,0,0,0,1,0,0,0,1,0,0,0
24738,0.3,2,63.3,59.0,394,0,0,0,0,1,0,0,1,0,0,0,0,0
19965,2.0,1,64.5,56.0,11655,0,0,0,1,0,0,0,0,1,0,0,0,0
10276,0.82,5,59.5,57.0,2870,0,0,0,1,0,0,0,0,0,0,1,0,0
22138,0.35,5,59.8,57.0,491,0,0,0,0,1,0,0,0,0,0,1,0,0
11530,0.37,4,60.2,60.0,803,0,0,0,0,0,0,0,0,0,1,0,0,0
15700,0.31,5,60.8,57.0,749,0,1,0,0,0,0,0,0,0,0,1,0,0
6584,0.28,3,61.0,57.0,707,1,0,0,0,0,0,0,0,0,0,0,0,1
9761,0.38,3,61.9,54.6,906,0,1,0,0,0,0,0,0,0,0,1,0,0
23949,1.03,5,62.1,56.0,5476,1,0,0,0,0,0,0,1,0,0,0,0,0
6870,0.7,3,58.2,63.0,1966,0,0,1,0,0,0,0,0,1,0,0,0,0
22496,0.51,2,63.9,56.0,1443,0,0,1,0,0,0,0,0,0,0,1,0,0
11511,0.3,5,62.0,55.0,844,1,0,0,0,0,0,0,0,0,0,1,0,0
20108,1.0,4,62.5,59.0,4200,0,1,0,0,0,0,0,0,1,0,0,0,0
25753,0.32,4,60.5,58.0,954,1,0,0,0,0,0,0,0,0,0,0,1,0
23506,1.21,3,62.0,57.0,5931,0,0,0,0,1,0,0,0,0,0,1,0,0
17477,1.31,3,62.5,55.0,5382,0,0,0,0,0,1,0,1,0,0,0,0,0
18264,1.05,5,62.0,56.0,7063,0,0,1,0,0,0,0,0,0,1,0,0,0
24294,0.32,5,61.8,56.0,910,0,0,0,0,0,0,0,0,0,0,0,1,0
14257,0.59,5,61.2,56.0,2345,0,1,0,0,0,0,0,0,0,0,0,0,1
19742,0.8,4,62.5,55.0,2553,0,0,0,1,0,0,0,1,0,0,0,0,0
15121,1.16,5,59.9,57.0,10368,0,0,1,0,0,0,1,0,0,0,0,0,0
10729,1.01,5,62.4,53.0,4642,0,0,0,1,0,0,0,1,0,0,0,0,0
15404,1.02,2,63.6,58.0,7861,0,0,1,0,0,0,0,0,0,0,0,1,0
13574,0.8,1,67.1,56.0,2400,0,0,1,0,0,0,0,0,1,0,0,0,0
13958,0.31,5,61.7,55.0,642,1,0,0,0,0,0,0,0,0,0,1,0,0
20560,0.33,5,62.3,57.0,743,0,0,1,0,0,0,0,0,0,0,1,0,0
1018,0.31,5,62.5,56.0,772,0,0,1,0,0,0,0,0,0,0,0,1,0
22500,1.06,4,58.9,61.0,5983,0,0,0,0,0,0,0,1,0,0,0,0,0
1298,2.03,1,65.4,58.0,16280,0,1,0,0,0,0,0,1,0,0,0,0,0
3774,0.3,5,61.8,54.0,545,0,0,1,0,0,0,0,0,0,0,1,0,0
20997,0.9,4,59.0,58.0,4687,0,1,0,0,0,0,0,0,0,1,0,0,0
5370,0.5,4,60.9,59.0,1583,0,0,1,0,0,0,0,0,0,1,0,0,0
20576,0.81,5,61.6,56.0,3923,0,0,1,0,0,0,0,0,0,1,0,0,0
8897,1.14,5,62.7,55.0,9316,0,1,0,0,0,0,0,0,0,0,0,0,1
7533,0.9,5,62.6,56.0,3841,0,0,1,0,0,0,0,1,0,0,0,0,0
23108,1.01,3,62.8,56.0,9089,1,0,0,0,0,0,0,0,0,0,0,0,1
25905,0.9,3,62.2,58.0,4157,0,0,0,1,0,0,0,0,0,0,1,0,0
9691,0.4,5,62.0,54.0,1053,1,0,0,0,0,0,0,0,0,1,0,0,0
14567,1.21,3,60.4,56.0,9484,0,0,1,0,0,0,0,0,0,0,0,0,1
5052,1.7,5,62.3,56.0,18055,0,1,0,0,0,0,0,0,0,0,1,0,0
337,1.25,4,61.5,57.0,4690,0,0,0,0,0,1,0,0,1,0,0,0,0
3648,0.5,4,62.3,59.0,1016,0,1,0,0,0,0,0,0,1,0,0,0,0
25508,0.9,3,63.3,59.0,2973,0,0,0,0,0,1,0,0,1,0,0,0,0
8259,0.7,3,61.8,56.0,2106,0,0,1,0,0,0,0,1,0,0,0,0,0
10066,0.52,3,63.0,56.0,1369,0,0,1,0,0,0,0,0,0,0,1,0,0
26310,0.36,4,61.7,59.0,726,0,0,1,0,0,0,0,0,0,1,0,0,0
6717,1.11,3,63.2,58.0,5192,0,0,0,1,0,0,0,1,0,0,0,0,0
1029,1.01,5,62.9,57.0,4858,0,1,0,0,0,0,0,0,1,0,0,0,0
13788,0.72,3,60.1,60.0,3449,0,0,1,0,0,0,0,0,0,0,0,0,1
21992,0.54,5,60.7,56.0,1340,1,0,0,0,0,0,0,0,1,0,0,0,0
5239,1.01,3,63.5,56.0,4412,0,0,0,1,0,0,0,0,0,1,0,0,0
26392,0.3,4,61.0,58.0,526,0,0,0,1,0,0,0,0,0,1,0,0,0
24756,1.5,4,60.8,59.0,10291,0,0,0,1,0,0,0,0,0,0,1,0,0
9175,0.24,3,61.745146555006194,57.0,538,0,1,0,0,0,0,0,0,0,0,0,0,1
23973,0.38,5,62.8,56.0,898,0,0,0,1,0,0,0,0,0,0,1,0,0
3617,0.74,3,63.2,56.0,3328,0,0,1,0,0,0,0,0,0,0,0,1,0
18227,1.2,4,62.1,55.0,5746,0,0,0,1,0,0,0,1,0,0,0,0,0
21956,0.7,2,61.2,64.0,1824,0,0,0,0,0,1,0,0,1,0,0,0,0
26076,0.81,5,62.2,57.0,2323,0,0,0,0,1,0,0,1,0,0,0,0,0
20116,1.01,1,69.5,55.0,4853,1,0,0,0,0,0,0,1,0,0,0,0,0
5593,2.55,4,62.9,58.0,14351,0,0,0,0,1,0,0,0,1,0,0,0,0
17350,1.18,5,62.6,55.0,6661,0,0,0,0,1,0,0,0,0,1,0,0,0
25267,0.7,3,63.5,59.0,2838,1,0,0,0,0,0,0,1,0,0,0,0,0
18741,0.74,5,61.3,57.0,3130,0,0,0,0,1,0,0,0,0,0,0,0,1
7915,1.28,4,62.1,60.0,8139,0,0,1,0,0,0,0,0,0,0,1,0,0
21031,1.0,4,61.8,59.0,4150,0,0,0,1,0,0,0,1,0,0,0,0,0
20877,0.53,5,61.7,57.0,1832,0,1,0,0,0,0,0,0,0,0,1,0,0
22718,1.79,4,61.7,59.0,18419,0,0,1,0,0,0,0,0,0,1,0,0,0
1330,2.2,4,60.9,60.0,13065,0,0,0,0,0,1,0,0,1,0,0,0,0
22789,0.5,4,60.7,57.0,978,0,0,1,0,0,0,0,0,1,0,0,0,0
5651,1.06,5,60.3,57.0,8726,0,0,1,0,0,0,0,0,0,0,0,0,1
10329,1.23,5,61.6,55.0,3168,0,0,0,1,0,0,0,0,0,0,0,0,0
16789,0.7,3,61.1,60.0,2166,0,0,0,0,1,0,0,0,0,0,1,0,0
22661,1.1,5,61.5,59.0,8796,0,1,0,0,0,0,0,0,0,1,0,0,0
6957,0.33,5,61.3,55.0,433,0,0,0,1,0,0,0,0,1,0,0,0,0
11045,0.91,1,65.0,62.0,4256,1,0,0,0,0,0,0,1,0,0,0,0,0
16201,0.23,3,60.0,57.0,530,0,1,0,0,0,0,0,0,0,0,0,0,1
22332,0.31,5,61.8,56.0,897,0,1,0,0,0,0,0,0,0,0,0,1,0
1996,1.5,4,58.5,60.0,7644,0,1,0,0,0,0,0,0,1,0,0,0,0
11814,1.01,3,60.8,59.0,4869,0,1,0,0,0,0,0,1,0,0,0,0,0
26958,1.37,4,61.0,57.0,6751,1,0,0,0,0,0,0,0,1,0,0,0,0
26881,0.7,2,59.8,62.0,2973,1,0,0,0,0,0,0,0,0,1,0,0,0
7966,0.57,4,62.0,58.0,1763,1,0,0,0,0,0,0,0,0,0,1,0,0
23867,0.8,5,62.6,54.0,2694,0,0,0,0,1,0,0,0,0,0,1,0,0
1502,1.2,5,62.7,55.0,7761,0,0,0,0,0,0,0,1,0,0,0,0,0
11938,0.34,5,62.6,57.0,956,1,0,0,0,0,0,0,0,0,0,1,0,0
17294,1.52,5,61.9,56.0,11168,0,0,0,0,1,0,0,0,0,0,0,1,0
3514,0.76,5,61.7,56.0,2338,0,0,0,1,0,0,0,1,0,0,0,0,0
24640,1.2,5,61.6,54.0,4099,0,0,0,0,0,1,0,0,0,0,1,0,0
22980,0.5,5,61.6,57.0,1923,0,0,0,0,0,0,0,0,0,1,0,0,0
25910,0.9,2,62.1,63.0,3724,1,0,0,0,0,0,0,0,1,0,0,0,0
7058,1.3,4,60.2,59.0,7002,0,0,0,0,0,0,0,0,1,0,0,0,0
4070,1.03,5,60.7,55.0,4752,0,0,0,0,0,0,0,0,1,0,0,0,0
11210,0.7,5,60.8,56.0,3504,1,0,0,0,0,0,0,0,0,0,1,0,0
17560,0.39,3,58.4,62.0,821,0,1,0,0,0,0,0,0,0,0,1,0,0
999,1.04,3,62.6,58.0,4375,0,0,1,0,0,0,0,0,1,0,0,0,0
3740,0.3,3,60.3,62.0,605,0,0,1,0,0,0,0,0,0,1,0,0,0
7732,1.08,5,61.8,57.0,9041,0,0,0,1,0,0,0,0,0,0,0,1,0
16477,0.59,5,62.0,54.0,1300,0,0,0,0,1,0,0,0,0,0,1,0,0
25128,0.5,4,62.8,60.0,1676,1,0,0,0,0,0,0,0,0,0,1,0,0
3793,1.2,2,64.0,61.0,6969,1,0,0,0,0,0,0,1,0,0,0,0,0
8168,0.71,5,61.4,56.0,3234,0,0,0,0,0,0,0,0,0,0,1,0,0
25626,1.65,5,60.8,56.0,14456,0,0,1,0,0,0,0,0,0,0,1,0,0
1736,0.92,2,59.0,63.0,3070,0,0,0,0,0,1,0,0,1,0,0,0,0
14503,0.72,5,61.7,59.0,2706,0,1,0,0,0,0,0,1,0,0,0,0,0
11454,1.51,4,62.2,61.0,6756,0,0,0,0,1,0,0,1,0,0,0,0,0
16541,0.7,5,62.6,56.0,3068,1,0,0,0,0,0,0,0,0,0,1,0,0
20559,2.07,2,64.1,57.0,15119,0,0,0,0,1,0,0,0,0,0,1,0,0
6424,1.02,5,61.7,56.0,2925,0,0,0,0,1,0,0,0,0,0,0,0,0
9501,1.01,2,64.1,59.0,6037,0,1,0,0,0,0,0,0,0,0,1,0,0
24447,1.25,4,63.0,62.0,5947,0,0,0,0,0,0,0,0,1,0,0,0,0
26671,0.3,5,62.3,54.0,764,0,0,0,1,0,0,1,0,0,0,0,0,0
8003,1.08,5,59.3,57.0,4455,0,0,0,1,0,0,0,0,1,0,0,0,0
12342,1.23,4,58.0,59.0,4470,0,0,0,0,0,0,0,0,1,0,0,0,0
13365,0.72,3,62.1,59.0,3059,0,1,0,0,0,0,0,0,0,1,0,0,0
1927,1.04,5,60.3,56.0,4193,0,0,0,1,0,0,0,0,1,0,0,0,0
4099,0.58,5,60.6,55.0,1719,0,0,1,0,0,0,0,0,0,0,1,0,0
15821,0.43,3,62.9,60.0,792,0,1,0,0,0,0,0,1,0,0,0,0,0
10158,1.18,3,62.6,55.0,5674,0,0,0,1,0,0,0,1,0,0,0,0,0
8572,0.53,3,60.2,55.0,1722,0,0,1,0,0,0,0,0,0,1,0,0,0
13668,0.4,5,60.9,55.0,873,0,0,1,0,0,0,0,1,0,0,0,0,0
2560,0.3,4,60.3,60.0,911,0,0,0,0,0,0,0,0,0,0,1,0,0
24089,2.11,4,60.7,60.0,12554,0,0,0,0,0,1,0,0,1,0,0,0,0
9150,1.2,4,62.1,57.0,3965,0,0,0,1,0,0,0,0,1,0,0,0,0
24007,0.74,4,60.9,60.0,2201,0,0,0,1,0,0,0,1,0,0,0,0,0
4542,0.4,5,61.6,55.0,1226,0,0,0,0,0,0,0,0,0,0,1,0,0
167,1.0,2,64.0,58.0,6250,0,0,0,0,0,0,0,0,0,1,0,0,0
5373,2.05,4,62.3,60.0,13543,0,0,0,0,0,1,0,0,0,0,1,0,0
5807,0.34,5,62.0,57.0,596,1,0,0,0,0,0,0,1,0,0,0,0,0
15611,0.5,2,63.8,57.0,1009,0,0,1,0,0,0,0,0,1,0,0,0,0
14070,0.37,3,60.4,57.0,995,0,1,0,0,0,0,1,0,0,0,0,0,0
19417,1.54,4,62.4,59.0,6640,0,0,0,0,1,0,0,0,1,0,0,0,0
7197,1.56,5,62.5,55.0,15609,0,0,1,0,0,0,0,0,0,0,0,0,1
12165,0.5,2,63.6,55.0,1286,0,0,1,0,0,0,0,1,0,0,0,0,0
24413,0.77,1,61.745146555006194,57.0,3031,0,1,0,0,0,0,0,0,0,1,0,0,0
2315,0.41,4,62.8,58.0,861,0,0,1,0,0,0,0,1,0,0,0,0,0
19108,0.2,4,61.7,60.0,367,0,0,0,0,0,0,0,0,0,0,1,0,0
344,0.51,3,61.745146555006194,54.7,1970,1,0,0,0,0,0,0,0,0,1,0,0,0
7888,0.5,3,61.0,56.0,1598,0,0,0,1,0,0,0,0,0,1,0,0,0
24520,0.7,2,63.1,58.0,2282,0,0,1,0,0,0,0,0,0,0,1,0,0
8545,0.32,5,62.8,57.0,612,0,0,0,0,0,0,0,0,1,0,0,0,0
7318,0.32,5,61.7,56.0,745,1,0,0,0,0,0,0,0,0,1,0,0,0
15157,0.7,2,64.3,56.0,1442,0,0,0,0,0,1,0,1,0,0,0,0,0
22623,1.0,1,65.3,55.0,3763,0,0,0,0,1,0,0,0,0,1,0,0,0
7219,1.01,4,60.6,58.0,4118,1,0,0,0,0,0,0,0,1,0,0,0,0
11402,0.3,4,62.5,58.0,709,0,0,0,0,0,0,0,1,0,0,0,0,0
5720,0.32,4,59.7,60.0,449,1,0,0,0,0,0,0,0,1,0,0,0,0
6864,0.82,4,59.5,62.0,2499,0,0,0,1,0,0,0,0,1,0,0,0,0
9665,0.24,5,62.1,56.0,678,0,1,0,0,0,0,0,0,0,0,0,0,1
6866,1.22,5,60.4,57.0,7430,0,0,0,0,1,0,0,0,0,0,1,0,0
14923,0.31,4,62.4,59.0,489,0,0,0,1,0,0,0,0,0,0,1,0,0
13321,0.52,5,61.2,56.0,1947,1,0,0,0,0,0,0,0,0,0,1,0,0
21010,1.21,4,61.3,59.0,5893,0,0,0,0,0,1,0,0,0,0,0,1,0
10531,0.72,5,61.6,56.0,3334,0,0,0,1,0,0,0,0,0,0,0,0,1
14660,1.23,5,61.8,56.0,11141,0,1,0,0,0,0,0,0,0,0,0,0,1
21617,0.52,5,61.4,56.0,1408,0,0,0,1,0,0,0,0,0,1,0,0,0
2079,1.5,3,61.4,57.0,9035,0,0,0,1,0,0,0,1,0,0,0,0,0
4386,0.72,4,61.4,58.0,1944,0,0,0,0,0,1,0,0,0,0,1,0,0
