carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
1.21,4,61.7,60.0,5431,0,0,0,0,0,1,0,0,0,0,0,0,1
1.01,3,62.8,56.0,5049,0,0,1,0,0,0,0,1,0,0,0,0,0
0.51,4,61.3,58.0,1084,0,0,0,0,1,0,0,1,0,0,0,0,0
1.26,5,62.0,56.0,5301,0,0,0,0,0,1,0,1,0,0,0,0,0
1.55,2,61.0,61.0,11364,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9,2,63.8,59.0,3246,0,0,1,0,0,0,0,0,1,0,0,0,0
1.58,4,62.3,60.0,9290,0,1,0,0,0,0,0,0,1,0,0,0,0
0.43,4,60.5,60.0,1016,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,5,61.7,54.0,764,0,0,1,0,0,0,0,0,0,0,0,1,0
2.0,2,63.9,57.0,12554,0,0,0,0,1,0,0,1,0,0,0,0,0
1.01,4,62.6,57.0,2257,0,1,0,0,0,0,0,0,0,0,0,0,0
0.43,4,62.5,58.0,1129,0,1,0,0,0,0,0,0,0,1,0,0,0
0.52,5,61.7,55.0,2338,0,0,1,0,0,0,0,0,0,0,0,0,1
0.73,3,62.1,58.0,2395,1,0,0,0,0,0,0,0,1,0,0,0,0
0.52,5,61.8,55.0,1822,0,0,0,0,0,0,0,0,0,0,1,0,0
0.5,4,58.0,62.0,1031,0,1,0,0,0,0,0,0,1,0,0,0,0
1.14,4,61.4,60.0,7079,0,0,1,0,0,0,0,0,0,0,1,0,0
0.78,4,62.4,58.0,2777,0,1,0,0,0,0,0,1,0,0,0,0,0
0.43,5,62.3,56.0,943,0,0,1,0,0,0,0,0,0,1,0,0,0
0.91,3,62.9,54.0,3615,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,3,62.4,58.0,7587,0,1,0,0,0,0,0,0,0,1,0,0,0
0.52,2,63.7,54.0,1388,1,0,0,0,0,0,0,1,0,0,0,0,0
1.21,5,61.6,55.0,7086,0,0,0,0,1,0,0,0,0,0,0,1,0
0.5,2,64.9,59.0,1389,1,0,0,0,0,0,0,0,0,0,1,0,0
1.01,4,61.7,59.0,7466,0,0,1,0,0,0,0,0,0,0,0,0,1
0.51,5,62.6,57.0,2203,0,1,0,0,0,0,0,0,0,0,0,0,1
0.27,4,61.5,58.0,603,1,0,0,0,0,0,0,0,0,1,0,0,0
1.8,3,62.2,57.0,17273,1,0,0,0,0,0,0,1,0,0,0,0,0
0.3,5,61.9,55.0,673,0,1,0,0,0,0,0,0,0,1,0,0,0
1.13,4,60.9,59.0,5050,0,0,0,1,0,0,0,1,0,0,0,0,0
0.38,4,61.7,59.0,812,0,0,0,0,1,0,0,0,0,0,1,0,0
0.54,4,59.7,59.0,1369,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,2,63.2,55.0,405,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,5,59.8,55.0,1359,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,4,62.2,59.0,365,0,0,0,0,0,1,0,1,0,0,0,0,0
0.57,5,61.1,55.0,3057,0,1,0,0,0,0,0,0,0,0,0,1,0
0.44,5,60.8,56.0,912,0,0,0,0,1,0,0,0,0,0,0,0,1
0.52,5,62.5,56.0,1629,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,4,58.4,59.0,2854,1,0,0,0,0,0,0,0,0,1,0,0,0
0.57,3,59.4,58.0,1214,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,5,62.0,57.0,8062,0,0,1,0,0,0,0,0,0,0,1,0,0
0.59,5,62.0,55.0,1664,1,0,0,0,0,0,0,1,0,0,0,0,0
0.51,5,62.0,56.0,1343,0,0,1,0,0,0,0,0,0,0,1,0,0
1.2,4,62.2,58.0,5154,0,0,1,0,0,0,0,1,0,0,0,0,0
2.16,4,62.3,57.0,11473,0,0,0,1,0,0,0,0,1,0,0,0,0
0.31,3,60.5,57.0,640,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,5,61.4,55.7,905,0,0,0,1,0,0,0,0,0,0,0,0,1
1.68,5,62.1,57.0,10800,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9,3,63.5,58.0,3918,0,0,0,0,0,0,0,0,1,0,0,0,0
0.43,3,62.2,58.0,869,1,0,0,0,0,0,0,0,0,0,1,0,0
0.76,5,61.9,55.0,3016,0,0,0,1,0,0,0,0,0,0,1,0,0
0.74,5,61.74514655500572,59.0,2501,1,0,0,0,0,0,0,0,1,0,0,0,0
1.26,5,63.2,57.0,5306,0,0,0,0,0,1,0,0,0,0,1,0,0
0.41,3,63.1,56.0,1061,0,0,0,0,1,0,0,0,0,0,0,0,1
0.3,5,61.8,55.0,665,0,0,0,1,0,0,0,0,0,0,0,1,0
0.5,5,62.3,57.0,1850,0,1,0,0,0,0,0,0,0,0,0,0,1
0.54,5,62.1,56.0,1637,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,3,59.4,61.0,977,0,0,0,0,0,0,0,0,0,0,0,0,1
1.51,3,61.7,61.0,9218,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,3,60.9,59.0,2003,1,0,0,0,0,0,0,0,0,0,0,0,1
0.33,5,60.9,57.0,850,1,0,0,0,0,0,0,0,0,1,0,0,0
0.9,5,61.6,57.0,5564,0,0,1,0,0,0,0,0,0,0,0,1,0
0.72,3,63.2,57.0,2345,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,5,61.8,55.0,1557,0,0,1,0,0,0,0,0,0,0,1,0,0
0.5,2,63.9,57.0,1197,0,0,1,0,0,0,0,1,0,0,0,0,0
1.02,1,66.8,55.0,3027,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,1,65.2,58.0,2318,1,0,0,0,0,0,0,1,0,0,0,0,0
1.69,5,62.2,57.0,16789,0,1,0,0,0,0,0,0,0,0,1,0,0
1.3,4,60.5,60.0,11061,0,0,1,0,0,0,0,0,0,0,0,1,0
0.31,5,61.1,55.0,774,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,5,60.7,57.0,9002,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,4,60.6,54.0,8924,0,1,0,0,0,0,0,0,0,0,0,0,1
0.28,3,62.0,55.0,382,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,2,64.3,59.0,4766,1,0,0,0,0,0,0,1,0,0,0,0,0
0.41,3,62.0,56.0,873,0,0,0,1,0,0,0,0,0,0,0,0,1
0.55,3,59.7,60.0,1559,1,0,0,0,0,0,0,1,0,0,0,0,0
1.39,4,62.0,56.0,8874,0,0,1,0,0,0,0,0,0,0,1,0,0
0.36,3,61.2,55.0,475,0,0,0,1,0,0,0,0,1,0,0,0,0
0.23,3,60.0,56.0,530,1,0,0,0,0,0,0,0,0,0,0,0,1
1.37,4,61.6,59.0,7951,0,0,1,0,0,0,0,0,0,0,1,0,0
0.31,5,60.2,61.0,865,1,0,0,0,0,0,0,0,0,0,0,1,0
0.81,4,61.9,59.0,3043,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,4,61.74514655500572,59.0,5292,0,1,0,0,0,0,0,1,0,0,0,0,0
0.31,5,61.2,56.0,1046,0,0,1,0,0,0,0,0,0,0,0,1,0
2.02,3,62.4,55.0,11757,0,0,0,0,0,1,0,0,1,0,0,0,0
0.34,5,61.7,56.0,863,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3,5,61.3,56.0,789,0,0,1,0,0,0,0,0,0,0,0,1,0
1.68,4,60.7,62.0,12681,0,1,0,0,0,0,0,1,0,0,0,0,0
0.77,5,60.7,55.0,2834,1,0,0,0,0,0,0,0,1,0,0,0,0
2.8,4,61.1,59.0,15030,0,0,0,0,1,0,0,0,1,0,0,0,0
0.9,4,61.2,62.0,3338,0,0,0,0,1,0,0,0,0,0,1,0,0
0.76,3,63.0,59.0,2668,1,0,0,0,0,0,0,1,0,0,0,0,0
0.55,4,60.3,58.0,1186,0,0,1,0,0,0,0,0,1,0,0,0,0
0.31,1,65.5,58.0,629,0,0,1,0,0,0,0,0,0,0,0,0,1
0.4,4,60.4,59.0,666,0,0,0,0,0,0,0,0,1,0,0,0,0
1.56,4,61.9,58.0,13299,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,5,62.7,57.0,684,0,0,1,0,0,0,0,0,0,0,0,0,1
0.31,5,61.8,56.0,942,1,0,0,0,0,0,0,0,0,1,0,0,0
0.31,5,61.3,56.0,1105,1,0,0,0,0,0,0,0,0,0,0,1,0
0.3,5,61.6,55.0,526,0,0,0,1,0,0,0,0,0,1,0,0,0
2.2,5,59.9,57.0,14691,0,0,1,0,0,0,0,0,1,0,0,0,0
0.73,3,62.1,60.0,3353,1,0,0,0,0,0,0,0,0,1,0,0,0
0.9,2,61.5,61.0,4156,0,0,0,1,0,0,0,0,0,0,1,0,0
0.75,5,62.1,57.0,3081,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,3,60.3,59.0,1415,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4,5,61.4,57.0,1150,1,0,0,0,0,0,0,0,0,0,1,0,0
0.41,5,62.3,57.0,1356,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41,4,62.3,59.0,1079,1,0,0,0,0,0,0,0,0,1,0,0,0
0.36,4,61.3,60.0,541,0,0,0,0,0,1,0,1,0,0,0,0,0
1.71,5,63.0,56.0,17009,0,0,1,0,0,0,0,0,0,1,0,0,0
1.02,4,60.3,59.0,4558,0,0,0,1,0,0,0,1,0,0,0,0,0
0.59,3,61.7,57.0,1412,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,3,63.0,62.0,4668,0,0,0,0,0,0,0,0,0,0,1,0,0
1.11,4,61.74514655500572,61.0,4177,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9,3,62.5,62.0,3950,0,1,0,0,0,0,0,1,0,0,0,0,0
0.92,3,60.9,61.0,5453,1,0,0,0,0,0,0,0,0,1,0,0,0
1.45,3,62.8,57.0,6671,0,0,0,0,0,1,0,0,0,0,1,0,0
1.16,5,61.5,57.0,5302,0,0,0,0,1,0,0,0,0,0,1,0,0
1.01,4,61.6,56.0,4751,1,0,0,0,0,0,0,0,1,0,0,0,0
0.7,5,60.9,59.0,3737,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,5,61.4,55.0,898,0,0,1,0,0,0,1,0,0,0,0,0,0
0.91,3,60.0,57.0,3531,0,0,1,0,0,0,0,0,1,0,0,0,0
0.58,5,62.7,56.0,1442,0,0,0,0,0,0,0,0,1,0,0,0,0
0.51,5,62.4,55.0,1443,1,0,0,0,0,0,0,1,0,0,0,0,0
0.31,5,62.6,57.0,625,0,1,0,0,0,0,0,0,0,0,1,0,0
0.97,5,62.7,57.0,4101,0,0,1,0,0,0,0,0,1,0,0,0,0
1.03,5,62.4,56.0,4054,0,0,0,0,0,1,0,0,1,0,0,0,0
0.3,2,59.8,64.0,814,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3,61.74514655500572,55.0,6340,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,3,63.9,55.0,1604,1,0,0,0,0,0,0,0,0,1,0,0,0
0.59,5,61.2,56.0,2049,0,0,0,0,1,0,0,0,0,0,0,1,0
0.26,3,60.4,58.0,452,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,64.0,58.0,6250,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9,3,61.0,63.0,4304,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,5,62.0,55.0,571,0,0,0,0,0,0,0,1,0,0,0,0,0
1.53,3,58.5,59.0,11713,0,1,0,0,0,0,0,1,0,0,0,0,0
0.81,5,61.9,57.0,2977,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,3,61.4,58.0,556,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,3,60.3,57.0,2343,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1,68.3,58.0,4312,0,1,0,0,0,0,0,0,0,0,1,0,0
0.34,3,60.4,61.0,686,0,0,1,0,0,0,0,0,0,1,0,0,0
0.71,5,62.5,57.0,2215,0,0,1,0,0,0,0,1,0,0,0,0,0
0.5,1,66.5,58.0,1098,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,5,62.0,54.0,790,1,0,0,0,0,0,0,0,0,0,0,0,1
1.63,5,61.3,56.0,9694,0,0,0,0,1,0,0,1,0,0,0,0,0
0.96,5,61.2,56.0,5767,0,1,0,0,0,0,0,0,0,1,0,0,0
1.24,4,61.2,57.0,5694,0,0,0,1,0,0,0,0,1,0,0,0,0
0.51,3,62.3,57.0,1628,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,2,63.1,62.0,717,0,0,0,1,0,0,0,0,0,0,1,0,0
1.21,3,63.3,60.0,4404,0,0,0,0,1,0,0,1,0,0,0,0,0
0.43,5,61.74514655500572,56.0,975,1,0,0,0,0,0,0,1,0,0,0,0,0
0.72,5,61.7,55.0,2470,0,1,0,0,0,0,0,1,0,0,0,0,0
0.75,3,63.7,56.0,2300,0,0,0,0,1,0,0,1,0,0,0,0,0
0.42,5,60.6,56.0,933,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9,5,61.7,57.0,4940,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,5,61.7,54.0,758,0,0,0,0,0,0,0,0,0,0,1,0,0
0.39,4,62.5,60.0,889,1,0,0,0,0,0,0,0,0,0,1,0,0
1.01,3,63.2,58.0,3309,0,0,0,0,1,0,0,0,1,0,0,0,0
0.61,5,61.7,55.0,2833,0,1,0,0,0,0,0,0,0,0,0,0,1
0.54,5,61.8,55.0,2333,0,1,0,0,0,0,0,0,0,0,0,0,1
0.71,5,62.0,55.0,3421,1,0,0,0,0,0,0,0,0,0,1,0,0
1.01,3,58.8,58.0,6777,0,0,1,0,0,0,0,0,0,1,0,0,0
0.24,5,61.6,54.0,552,0,1,0,0,0,0,0,0,0,0,0,0,1
0.24,5,61.8,55.0,678,0,1,0,0,0,0,0,0,0,0,0,1,0
0.58,4,62.2,55.0,1586,0,1,0,0,0,0,0,0,0,0,1,0,0
1.01,2,63.7,55.0,4118,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9,3,63.6,57.0,3225,0,0,0,0,0,1,0,1,0,0,0,0,0
0.72,5,61.5,55.0,2420,0,0,1,0,0,0,0,0,1,0,0,0,0
0.7,3,63.1,55.0,2657,0,0,1,0,0,0,0,0,0,0,1,0,0
2.01,4,59.4,58.0,15562,0,0,1,0,0,0,0,0,1,0,0,0,0
0.51,3,62.4,62.0,1438,0,0,1,0,0,0,0,0,0,0,1,0,0
1.2,4,62.2,59.0,8602,1,0,0,0,0,0,0,0,0,0,1,0,0
1.24,5,62.0,57.0,9188,0,0,1,0,0,0,0,0,0,0,1,0,0
1.26,3,63.2,61.0,7000,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,5,61.3,56.0,666,0,1,0,0,0,0,0,0,0,0,1,0,0
0.58,5,61.6,55.0,1636,1,0,0,0,0,0,0,1,0,0,0,0,0
0.41,5,61.9,57.0,961,0,0,1,0,0,0,0,0,0,1,0,0,0
1.19,5,60.8,59.0,9524,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9,3,61.1,55.0,3445,0,0,1,0,0,0,0,0,1,0,0,0,0
1.52,4,61.9,58.0,8631,0,0,0,0,1,0,0,1,0,0,0,0,0
1.5,3,60.5,55.0,15585,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,5,62.3,58.0,6398,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3,3,62.9,58.0,895,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,3,63.0,56.0,7453,1,0,0,0,0,0,0,0,0,1,0,0,0
0.24,3,61.4,57.0,449,0,0,0,1,0,0,0,0,0,0,0,0,1
1.01,3,63.4,60.0,6787,1,0,0,0,0,0,0,0,0,0,1,0,0
1.7,5,60.5,57.0,8505,0,0,0,0,0,1,0,0,1,0,0,0,0
0.55,4,61.4,57.0,1881,1,0,0,0,0,0,0,0,0,0,1,0,0
0.34,3,60.3,57.0,596,1,0,0,0,0,0,0,1,0,0,0,0,0
0.44,5,61.0,57.0,2290,0,0,0,0,0,0,0,0,0,0,0,1,0
0.79,5,61.1,57.0,3209,0,0,0,0,0,0,0,1,0,0,0,0,0
0.67,2,59.8,60.3,2479,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,4,61.0,61.0,558,0,0,0,1,0,0,0,1,0,0,0,0,0
1.22,5,61.9,55.0,7870,0,0,0,1,0,0,0,1,0,0,0,0,0
1.5,2,59.8,61.0,6798,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9,5,62.5,56.0,3521,0,0,1,0,0,0,0,0,1,0,0,0,0
0.38,5,62.2,54.0,870,0,1,0,0,0,0,0,0,0,0,1,0,0
1.01,5,61.8,57.0,6618,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3,5,61.7,56.0,694,0,1,0,0,0,0,0,0,0,0,0,0,1
0.71,2,58.8,63.0,2120,1,0,0,0,0,0,0,0,1,0,0,0,0
1.21,4,62.2,58.0,8446,0,0,0,1,0,0,1,0,0,0,0,0,0
1.0,5,62.6,57.0,6804,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,3,60.3,63.0,3534,0,0,0,0,0,0,0,0,1,0,0,0,0
0.91,3,63.4,56.0,4224,0,0,0,1,0,0,0,0,0,1,0,0,0
0.41,5,62.5,57.0,1181,0,0,0,0,0,0,0,0,0,0,0,0,1
0.39,5,61.1,55.0,628,1,0,0,0,0,0,0,1,0,0,0,0,0
1.28,4,60.2,58.0,6093,0,0,0,1,0,0,0,0,1,0,0,0,0
0.32,3,60.9,58.0,564,0,0,1,0,0,0,0,0,0,0,1,0,0
0.25,2,57.5,61.0,548,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,3,61.8,59.0,8373,0,0,1,0,0,0,0,0,0,0,0,1,0
0.31,5,61.5,55.0,464,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9,5,62.6,57.0,3808,1,0,0,0,0,0,0,0,1,0,0,0,0
0.71,5,62.2,55.0,2376,0,0,0,0,1,0,0,1,0,0,0,0,0
0.44,2,59.0,64.0,1001,1,0,0,0,0,0,0,0,0,0,1,0,0
0.33,4,62.1,56.0,743,0,0,0,0,1,0,0,0,0,0,0,0,1
0.56,5,62.0,56.0,2442,0,0,1,0,0,0,1,0,0,0,0,0,0
0.24,3,60.0,57.0,552,1,0,0,0,0,0,0,0,0,0,0,0,1
0.36,3,60.7,54.0,641,0,1,0,0,0,0,0,1,0,0,0,0,0
0.41,5,62.8,55.0,1076,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,5,62.2,55.0,921,0,1,0,0,0,0,1,0,0,0,0,0,0
0.52,3,62.3,58.0,1629,0,0,1,0,0,0,0,0,0,1,0,0,0
0.43,5,61.6,56.0,1036,0,0,0,0,0,0,0,1,0,0,0,0,0
1.53,4,61.0,60.0,14344,0,0,1,0,0,0,0,0,0,1,0,0,0
0.41,5,61.74514655500572,57.0,953,0,0,0,0,1,0,1,0,0,0,0,0,0
0.59,5,61.4,58.0,1657,1,0,0,0,0,0,0,0,0,0,1,0,0
0.4,3,63.1,58.0,882,0,1,0,0,0,0,0,1,0,0,0,0,0
0.71,4,58.7,61.0,2968,0,0,0,0,0,0,0,0,0,0,1,0,0
1.09,5,62.5,55.0,9845,0,1,0,0,0,0,0,0,0,0,0,0,1
2.11,4,62.2,60.0,16336,0,0,1,0,0,0,0,0,1,0,0,0,0
0.34,5,60.5,55.0,844,0,0,1,0,0,0,0,0,0,0,0,1,0
0.71,3,62.2,58.0,2313,1,0,0,0,0,0,0,0,1,0,0,0,0
0.43,5,62.0,55.0,1129,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,5,61.2,56.0,834,0,0,0,1,0,0,0,1,0,0,0,0,0
1.17,3,63.3,61.0,5025,0,0,1,0,0,0,0,1,0,0,0,0,0
1.22,5,62.0,55.0,7923,0,0,1,0,0,0,0,0,0,0,1,0,0
0.5,5,62.2,54.0,1883,0,0,1,0,0,0,0,0,0,0,0,1,0
0.55,5,61.5,57.0,2294,0,1,0,0,0,0,0,0,0,0,0,0,1
0.41,5,62.0,56.0,899,0,0,0,1,0,0,0,0,0,0,0,0,1
0.82,4,62.3,58.0,2456,0,0,1,0,0,0,0,0,1,0,0,0,0
0.39,5,62.5,54.0,857,0,0,1,0,0,0,0,0,0,0,1,0,0
0.53,3,60.9,59.0,1023,0,0,0,0,0,1,0,0,0,0,1,0,0
0.51,3,61.7,58.0,1875,0,0,1,0,0,0,0,0,0,0,0,0,1
0.23,3,59.8,57.0,402,0,1,0,0,0,0,0,0,0,1,0,0,0
0.36,4,61.3,60.0,1013,1,0,0,0,0,0,0,0,0,0,1,0,0
0.46,2,63.2,56.0,1205,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,2,62.7,56.0,2877,0,0,0,1,0,0,0,0,0,0,0,1,0
2.11,4,62.4,61.0,18034,1,0,0,0,0,0,0,0,1,0,0,0,0
0.7,4,59.7,60.0,2394,1,0,0,0,0,0,0,1,0,0,0,0,0
2.43,5,62.3,59.0,17856,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3,5,61.3,57.0,844,1,0,0,0,0,0,0,0,0,0,1,0,0
0.51,3,62.7,56.0,1656,0,0,1,0,0,0,0,0,0,1,0,0,0
1.03,4,61.1,61.0,3749,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,3,58.7,63.0,3234,0,1,0,0,0,0,0,0,0,0,0,0,1
0.41,4,59.9,58.0,1079,1,0,0,0,0,0,0,0,0,1,0,0,0
0.72,5,61.8,57.0,2440,0,1,0,0,0,0,0,1,0,0,0,0,0
0.77,2,63.0,65.0,2393,0,0,0,1,0,0,0,1,0,0,0,0,0
0.35,5,60.9,57.0,709,0,0,0,0,1,0,0,0,0,1,0,0,0
0.38,5,62.5,56.0,1067,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,4,62.1,58.0,625,0,0,1,0,0,0,0,0,0,1,0,0,0
0.54,5,61.0,56.0,1985,0,0,1,0,0,0,0,0,0,0,0,0,1
0.32,5,61.6,55.0,708,0,0,1,0,0,0,0,0,0,0,0,0,1
0.4,5,61.8,55.0,772,0,0,0,0,0,0,0,1,0,0,0,0,0
0.35,5,62.1,56.0,745,0,1,0,0,0,0,0,0,0,0,0,0,1
0.31,3,63.2,59.0,698,1,0,0,0,0,0,0,1,0,0,0,0,0
1.65,5,62.5,56.0,8334,0,0,0,0,0,1,0,1,0,0,0,0,0
1.69,5,63.0,57.0,13872,0,1,0,0,0,0,0,1,0,0,0,0,0
0.33,5,61.1,56.0,850,1,0,0,0,0,0,0,0,0,1,0,0,0
0.52,3,59.1,58.0,1875,1,0,0,0,0,0,0,0,0,1,0,0,0
0.35,3,63.2,61.0,551,0,0,0,1,0,0,0,0,1,0,0,0,0
0.42,3,60.9,58.0,910,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,2,64.1,56.0,2289,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,3,63.4,57.0,3489,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,3,60.9,55.0,1986,0,0,0,0,0,1,0,0,1,0,0,0,0
0.84,2,63.6,57.0,3316,0,0,1,0,0,0,0,0,0,1,0,0,0
0.54,4,62.6,57.0,1650,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,5,59.9,57.0,2142,0,0,0,1,0,0,0,0,1,0,0,0,0
0.57,5,62.5,56.0,2682,0,1,0,0,0,0,0,0,0,0,0,1,0
0.56,5,62.1,54.0,1237,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,4,61.74514655500572,58.0,2879,0,1,0,0,0,0,0,0,0,1,0,0,0
0.59,5,62.2,59.0,1648,0,0,0,1,0,0,0,0,0,0,1,0,0
0.41,5,61.3,56.0,605,0,0,1,0,0,0,0,0,1,0,0,0,0
1.04,5,61.8,57.0,14494,0,0,0,0,0,0,1,0,0,0,0,0,0
0.38,4,60.9,56.0,1026,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,3,62.5,59.0,4579,0,0,0,0,0,0,0,1,0,0,0,0,0
0.73,5,62.4,57.0,3201,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,2,63.4,60.0,432,0,0,0,1,0,0,0,1,0,0,0,0,0
0.71,5,61.6,56.0,4222,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,2,63.8,60.0,2083,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,5,62.2,56.0,533,0,0,0,0,0,1,1,0,0,0,0,0,0
